waypoint1	waypoint2	distance_m	duration_s
200 E Colfax Ave, Denver, CO 80203	Michigan State Capitol, Lansing, MI 48933	1938989	61925
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1177643	38391
200 E Colfax Ave, Denver, CO 80203	West Virginia State Capitol, Charleston, WV 25317	2179522	69797
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1316090	43911
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	2 E Main St, Madison, WI 53703	799076	27194
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	3648222	119785
Massachusetts State House, Boston, MA 02108	Michigan State Capitol, Lansing, MI 48933	1253199	42144
Maryland State House, 100 State Cir, Annapolis, MD 21401	Massachusetts State House, Boston, MA 02108	686809	24575
Indiana State Capitol, Indianapolis, IN 46204	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	1263835	41719
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2999483	98377
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3895544	127533
Maine State House, Augusta, ME 04330	Wyoming State Capitol, Cheyenne, WY 82001	3349735	109275
North Dakota State Capitol, Bismarck, ND 58501	Virginia State Capitol, Richmond, VA 23219	2633525	86247
Maryland State House, 100 State Cir, Annapolis, MD 21401	Rhode Island State House, 82 Smith Street, Providence, RI 02903	636777	22645
Missouri State Capitol, Jefferson City, MO 65101	Virginia State Capitol, Richmond, VA 23219	1532730	50174
Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	Virginia State Capitol, Richmond, VA 23219	2367738	76736
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Missouri State Capitol, Jefferson City, MO 65101	2219599	72546
700 W Jefferson St, Boise, ID 83720	North Dakota State Capitol, Bismarck, ND 58501	1653552	53973
Minnesota State Capitol, St Paul, MN 55155	New Jersey State House, Trenton, NJ 08608	1904120	62890
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Oklahoma State Capitol, Oklahoma City, OK 73105	2340718	72753
Vermont State House, 115 State Street, Montpelier, VT 05633	2 E Main St, Madison, WI 53703	1777622	62070
Georgia State Capitol, Atlanta, GA 30334	Louisiana State Capitol, Baton Rouge, LA 70802	847573	26558
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Indiana State Capitol, Indianapolis, IN 46204	939579	30682
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	West Virginia State Capitol, Charleston, WV 25317	3161300	102363
400-498 N West St, Jackson, MS 39201	2 E Main St, Madison, WI 53703	1365734	43769
Missouri State Capitol, Jefferson City, MO 65101	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	2274975	74126
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	2249106	74174
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1410057	46167
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	1837850	59592
Georgia State Capitol, Atlanta, GA 30334	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4308533	140227
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Minnesota State Capitol, St Paul, MN 55155	1857595	59131
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	700 W Jefferson St, Boise, ID 83720	3551935	114457
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1319361	43156
Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	Vermont State House, 115 State Street, Montpelier, VT 05633	3178780	106485
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Louisiana State Capitol, Baton Rouge, LA 70802	2386413	78041
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	North Carolina State Capitol, Raleigh, NC 27601	2033325	67800
Louisiana State Capitol, Baton Rouge, LA 70802	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1183500	37203
300 SW 10th Ave, Topeka, KS 66612	North Dakota State Capitol, Bismarck, ND 58501	1239183	39656
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	West Virginia State Capitol, Charleston, WV 25317	3119987	102887
Utah State Capitol, Salt Lake City, UT 84103	Virginia State Capitol, Richmond, VA 23219	3454401	112132
Illinois State Capitol, Springfield, IL 62756	Massachusetts State House, Boston, MA 02108	1860372	61933
400-498 N West St, Jackson, MS 39201	Oklahoma State Capitol, Oklahoma City, OK 73105	980722	32064
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Wyoming State Capitol, Cheyenne, WY 82001	1112231	34837
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1165413	40228
North Dakota State Capitol, Bismarck, ND 58501	Oklahoma State Capitol, Oklahoma City, OK 73105	1494640	53209
State House, 107 North Main Street, Concord, NH 03303	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1577189	53007
Virginia State Capitol, Richmond, VA 23219	Wyoming State Capitol, Cheyenne, WY 82001	2747570	89622
North Carolina State Capitol, Raleigh, NC 27601	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4687982	153775
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Minnesota State Capitol, St Paul, MN 55155	2649346	89080
Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	Vermont State House, 115 State Street, Montpelier, VT 05633	1803150	62346
New Mexico State Capitol, Santa Fe, NM 87501	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	2308293	78970
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	1791329	59995
Maine State House, Augusta, ME 04330	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	2644828	87064
300 SW 10th Ave, Topeka, KS 66612	State House, 107 North Main Street, Concord, NH 03303	2369020	81218
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Michigan State Capitol, Lansing, MI 48933	1163807	38987
Rhode Island State House, 82 Smith Street, Providence, RI 02903	Wyoming State Capitol, Cheyenne, WY 82001	3080887	100892
Illinois State Capitol, Springfield, IL 62756	Louisiana State Capitol, Baton Rouge, LA 70802	1226097	39459
New Jersey State House, Trenton, NJ 08608	New Mexico State Capitol, Santa Fe, NM 87501	3116096	102099
Michigan State Capitol, Lansing, MI 48933	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	865309	28698
Georgia State Capitol, Atlanta, GA 30334	Wyoming State Capitol, Cheyenne, WY 82001	2317691	75390
Maryland State House, 100 State Cir, Annapolis, MD 21401	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	569995	19536
300 SW 10th Ave, Topeka, KS 66612	Louisiana State Capitol, Baton Rouge, LA 70802	1280134	45998
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	1369160	45611
Louisiana State Capitol, Baton Rouge, LA 70802	Wyoming State Capitol, Cheyenne, WY 82001	2123347	70053
L St & 10th St, Sacramento, CA 95814	Vermont State House, 115 State Street, Montpelier, VT 05633	4799113	157550
State House, 107 North Main Street, Concord, NH 03303	Rhode Island State House, 82 Smith Street, Providence, RI 02903	198603	7162
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	West Virginia State Capitol, Charleston, WV 25317	1055648	35028
Michigan State Capitol, Lansing, MI 48933	Wyoming State Capitol, Cheyenne, WY 82001	1870400	60230
300 SW 10th Ave, Topeka, KS 66612	Michigan State Capitol, Lansing, MI 48933	1223735	39967
Georgia State Capitol, Atlanta, GA 30334	State House, 107 North Main Street, Concord, NH 03303	1832902	62046
New Mexico State Capitol, Santa Fe, NM 87501	Vermont State House, 115 State Street, Montpelier, VT 05633	3522278	117103
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	New Mexico State Capitol, Santa Fe, NM 87501	1539423	52035
500 E Capitol Ave, Pierre, SD 57501	Utah State Capitol, Salt Lake City, UT 84103	1321136	44900
Louisiana State Capitol, Baton Rouge, LA 70802	Virginia State Capitol, Richmond, VA 23219	1701633	54628
Missouri State Capitol, Jefferson City, MO 65101	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	705688	23205
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2537651	82695
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Maine State House, Augusta, ME 04330	2338330	77000
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	2633955	85619
Indiana State Capitol, Indianapolis, IN 46204	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3686095	118850
Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	Utah State Capitol, Salt Lake City, UT 84103	2078970	72976
L St & 10th St, Sacramento, CA 95814	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	2761755	88025
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1475019	49454
Michigan State Capitol, Lansing, MI 48933	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1250081	43355
Massachusetts State House, Boston, MA 02108	Minnesota State Capitol, St Paul, MN 55155	2235234	73994
Georgia State Capitol, Atlanta, GA 30334	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	1448812	48313
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	400-498 N West St, Jackson, MS 39201	399927	14442
New Jersey State House, Trenton, NJ 08608	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1356014	44770
North Dakota State Capitol, Bismarck, ND 58501	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1913954	61926
402 S Monroe St, Tallahassee, FL 32301	Nevada State Capitol, Carson City, NV 89701	3969361	131976
Minnesota State Capitol, St Paul, MN 55155	Utah State Capitol, Salt Lake City, UT 84103	2018054	66704
Louisiana State Capitol, Baton Rouge, LA 70802	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	3985874	133356
Illinois State Capitol, Springfield, IL 62756	Minnesota State Capitol, St Paul, MN 55155	832231	26948
500 E Capitol Ave, Pierre, SD 57501	Virginia State Capitol, Richmond, VA 23219	2562885	83836
700 W Jefferson St, Boise, ID 83720	West Virginia State Capitol, Charleston, WV 25317	3421175	110117
Georgia State Capitol, Atlanta, GA 30334	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1687897	57178
200 E Colfax Ave, Denver, CO 80203	New Mexico State Capitol, Santa Fe, NM 87501	628035	20434
Louisiana State Capitol, Baton Rouge, LA 70802	500 E Capitol Ave, Pierre, SD 57501	2163883	73639
500 E Capitol Ave, Pierre, SD 57501	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1828065	58696
Missouri State Capitol, Jefferson City, MO 65101	Vermont State House, 115 State Street, Montpelier, VT 05633	2063633	70719
L St & 10th St, Sacramento, CA 95814	402 S Monroe St, Tallahassee, FL 32301	4246543	134508
Illinois State Capitol, Springfield, IL 62756	Wyoming State Capitol, Cheyenne, WY 82001	1414419	46698
200 E Colfax Ave, Denver, CO 80203	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	779919	24546
L St & 10th St, Sacramento, CA 95814	Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	4705821	152168
Maine State House, Augusta, ME 04330	Nevada State Capitol, Carson City, NV 89701	4903131	159791
402 S Monroe St, Tallahassee, FL 32301	Vermont State House, 115 State Street, Montpelier, VT 05633	2271553	74414
Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	2 E Main St, Madison, WI 53703	1001345	32255
L St & 10th St, Sacramento, CA 95814	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	3810292	121906
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Maryland State House, 100 State Cir, Annapolis, MD 21401	1340229	44051
Oklahoma State Capitol, Oklahoma City, OK 73105	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1708829	55255
400-498 N West St, Jackson, MS 39201	Nevada State Capitol, Carson City, NV 89701	3284019	108458
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	Rhode Island State House, 82 Smith Street, Providence, RI 02903	578364	20322
200 E Colfax Ave, Denver, CO 80203	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	2614534	85456
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	Wyoming State Capitol, Cheyenne, WY 82001	2626841	85795
New Mexico State Capitol, Santa Fe, NM 87501	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1948399	62835
Utah State Capitol, Salt Lake City, UT 84103	2 E Main St, Madison, WI 53703	2194529	71184
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4617684	150632
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Minnesota State Capitol, St Paul, MN 55155	393856	12747
Maryland State House, 100 State Cir, Annapolis, MD 21401	Nevada State Capitol, Carson City, NV 89701	4238501	138229
Illinois State Capitol, Springfield, IL 62756	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1482225	50479
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Vermont State House, 115 State Street, Montpelier, VT 05633	2037187	69744
700 W Jefferson St, Boise, ID 83720	300 SW 10th Ave, Topeka, KS 66612	2166113	68549
Maryland State House, 100 State Cir, Annapolis, MD 21401	2 E Main St, Madison, WI 53703	1412212	47617
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Wyoming State Capitol, Cheyenne, WY 82001	1702296	53397
Michigan State Capitol, Lansing, MI 48933	State House, 107 North Main Street, Concord, NH 03303	1218622	43965
Indiana State Capitol, Indianapolis, IN 46204	400-498 N West St, Jackson, MS 39201	1081440	35071
Maine State House, Augusta, ME 04330	New Jersey State House, Trenton, NJ 08608	698301	24390
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Virginia State Capitol, Richmond, VA 23219	770231	26473
L St & 10th St, Sacramento, CA 95814	Georgia State Capitol, Atlanta, GA 30334	3968773	128180
300 SW 10th Ave, Topeka, KS 66612	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	269993	10365
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Oklahoma State Capitol, Oklahoma City, OK 73105	873294	27826
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	1772295	59587
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Wyoming State Capitol, Cheyenne, WY 82001	2371746	76696
Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	Wyoming State Capitol, Cheyenne, WY 82001	1623462	54840
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3663107	119420
Minnesota State Capitol, St Paul, MN 55155	Virginia State Capitol, Richmond, VA 23219	1935517	64281
Indiana State Capitol, Indianapolis, IN 46204	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1064665	35105
Indiana State Capitol, Indianapolis, IN 46204	North Dakota State Capitol, Bismarck, ND 58501	1640235	53131
400-498 N West St, Jackson, MS 39201	Virginia State Capitol, Richmond, VA 23219	1467102	47865
New Mexico State Capitol, Santa Fe, NM 87501	Oklahoma State Capitol, Oklahoma City, OK 73105	866244	28181
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	3611622	116503
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Wyoming State Capitol, Cheyenne, WY 82001	713490	22923
Maryland State House, 100 State Cir, Annapolis, MD 21401	New Jersey State House, Trenton, NJ 08608	262813	9463
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	700 W Jefferson St, Boise, ID 83720	4134203	134146
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1591365	52764
Maine State House, Augusta, ME 04330	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	876031	30102
500 E Capitol Ave, Pierre, SD 57501	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	2125998	71706
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	State House, 107 North Main Street, Concord, NH 03303	707087	24784
700 W Jefferson St, Boise, ID 83720	Massachusetts State House, Boston, MA 02108	4283333	138708
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4714544	152792
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	826451	26881
Minnesota State Capitol, St Paul, MN 55155	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	1966265	64874
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	New Mexico State Capitol, Santa Fe, NM 87501	1234237	43326
Maine State House, Augusta, ME 04330	Oklahoma State Capitol, Oklahoma City, OK 73105	2959308	96879
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	924813	31157
Rhode Island State House, 82 Smith Street, Providence, RI 02903	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	3108482	102106
Illinois State Capitol, Springfield, IL 62756	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	541419	17844
Massachusetts State House, Boston, MA 02108	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	272155	9633
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Missouri State Capitol, Jefferson City, MO 65101	427240	15927
200 E Colfax Ave, Denver, CO 80203	400-498 N West St, Jackson, MS 39201	1929525	64070
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	2180751	72146
200 E Colfax Ave, Denver, CO 80203	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	1272393	40434
L St & 10th St, Sacramento, CA 95814	New Jersey State House, Trenton, NJ 08608	4526276	145892
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	200 E Colfax Ave, Denver, CO 80203	1556144	49447
402 S Monroe St, Tallahassee, FL 32301	Oklahoma State Capitol, Oklahoma City, OK 73105	1613545	54879
Oklahoma State Capitol, Oklahoma City, OK 73105	Wyoming State Capitol, Cheyenne, WY 82001	1231999	38459
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1053002	35433
Indiana State Capitol, Indianapolis, IN 46204	Utah State Capitol, Salt Lake City, UT 84103	2476810	80495
Missouri State Capitol, Jefferson City, MO 65101	New Jersey State House, Trenton, NJ 08608	1658410	55522
Massachusetts State House, Boston, MA 02108	Virginia State Capitol, Richmond, VA 23219	888578	31243
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	182763	6475
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	2950421	95943
Michigan State Capitol, Lansing, MI 48933	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3748086	120647
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	State House, 107 North Main Street, Concord, NH 03303	3879140	130834
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	783537	28101
North Dakota State Capitol, Bismarck, ND 58501	500 E Capitol Ave, Pierre, SD 57501	336454	12198
Georgia State Capitol, Atlanta, GA 30334	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1534338	49356
Georgia State Capitol, Atlanta, GA 30334	300 SW 10th Ave, Topeka, KS 66612	1388556	45177
State House, 107 North Main Street, Concord, NH 03303	North Dakota State Capitol, Bismarck, ND 58501	2914129	97866
Michigan State Capitol, Lansing, MI 48933	Oklahoma State Capitol, Oklahoma City, OK 73105	1577431	50864
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Virginia State Capitol, Richmond, VA 23219	1111807	36237
402 S Monroe St, Tallahassee, FL 32301	Indiana State Capitol, Indianapolis, IN 46204	1253876	43132
Georgia State Capitol, Atlanta, GA 30334	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	1615728	53179
Illinois State Capitol, Springfield, IL 62756	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1308331	43357
Michigan State Capitol, Lansing, MI 48933	Virginia State Capitol, Richmond, VA 23219	1107187	37140
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	785111	25830
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	2897903	94872
