waypoint1	waypoint2	distance_m	duration_s
North Carolina State Capitol, Raleigh, NC 27601	Wyoming State Capitol, Cheyenne, WY 82001	2749593	90303
Utah State Capitol, Salt Lake City, UT 84103	West Virginia State Capitol, Charleston, WV 25317	2948971	95550
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	North Dakota State Capitol, Bismarck, ND 58501	1948713	61851
Georgia State Capitol, Atlanta, GA 30334	Missouri State Capitol, Jefferson City, MO 65101	1103364	36098
Missouri State Capitol, Jefferson City, MO 65101	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	872387	28979
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	987798	32079
Maryland State House, 100 State Cir, Annapolis, MD 21401	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2513299	82311
Rhode Island State House, 82 Smith Street, Providence, RI 02903	500 E Capitol Ave, Pierre, SD 57501	2842367	93230
402 S Monroe St, Tallahassee, FL 32301	Minnesota State Capitol, St Paul, MN 55155	2196511	72257
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	500 E Capitol Ave, Pierre, SD 57501	1127755	38752
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	Virginia State Capitol, Richmond, VA 23219	4686106	152504
Georgia State Capitol, Atlanta, GA 30334	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3310209	107488
Illinois State Capitol, Springfield, IL 62756	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	601548	20135
Illinois State Capitol, Springfield, IL 62756	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1213082	41012
700 W Jefferson St, Boise, ID 83720	Illinois State Capitol, Springfield, IL 62756	2592335	83866
300 SW 10th Ave, Topeka, KS 66612	Minnesota State Capitol, St Paul, MN 55155	804823	26003
Michigan State Capitol, Lansing, MI 48933	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	987704	32917
L St & 10th St, Sacramento, CA 95814	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	1630833	52447
Michigan State Capitol, Lansing, MI 48933	500 E Capitol Ave, Pierre, SD 57501	1631881	52568
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	New Mexico State Capitol, Santa Fe, NM 87501	1403049	45275
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1059373	34709
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Illinois State Capitol, Springfield, IL 62756	1683333	56084
New Mexico State Capitol, Santa Fe, NM 87501	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	2564803	82614
